,Title,Synopsis,Subject,ISBN
0,My Life in Red and White (Paperback),"[<p>For the very first time, world-renowned and revolutionary football manager Arsène Wenger tells his own story. He opens up about his life, sharing principles for success on and off the field with lessons on leadership, and vivid tales of his 22 years managing Arsenal to unprecedented success.</p>, <p>There, Wenger won multiple Premier League championships and a record number of FA C ups, and his teams included the Invincibles of 2003-2004 and a record-breaking undefeated 49-match run. He popularised an attacking approach and belief that the game should be entertaining but he also changed the attitudes of British football fans towards players' diet, fitness and coaching methods - and towards foreign managers too.</p>, <p>In <em>My Life in Red and White</em>, Wenger charts his extraordinary career, including his rise in France and Japan where he managed Nancy, Monaco and Nagoya Grampus Eight (clubs that also play in red-and-white, like Arsenal!) to his 22 years at the helm of an internationally renowned club from 1996 onwards. He describes the unrest that led to his resignation in 2018, and his current role as Chief of Global Football Development for FIFA.</p>, <p>He offers studious reflections on the game and his groundbreaking approach to motivation, mindset, fitness and football that was often beautiful to watch. This book is a must-read for not only Arsenal fans but football fans everywhere, for management and business leaders, and anyone seeking the tools for success in work and life. It will illuminate the mystique surrounding one of the most revered and successful manager's life story, strategy and vision in the world's most popular sport.</p>]",sports-leisure,9781474618267
1,The Accidental Footballer (Hardback),"[<p>Pat Nevin never wanted to be a professional footballer.</p>, <p>His future was clear, he'd become a teacher like his brothers. There was only one problem with this - Pat was far too good to avoid attention.</p>, <p>Raised in Glasgow's East End, Pat loved the game, playing for hours and obsessively following Celtic. But as he grew up, he also loved Joy Division, wearing his Indie 'gloom boom' coat and going on marches - hardly typical footballer behaviour!</p>, <p>Placed firmly in the 80s and 90s, before the advent of the Premier League, and often with racism and violence present, Pat Nevin writes with honesty, insight and wry humour. We are transported vividly to Chelsea and Everton, and colourfully diverted by John Peel, Morrissey and nights out at the Hacienda.<i><br/></i></p>, <p><i>The Accidental Footballer</i> is a different kind of football memoir. Capturing all the joys of professional football as well as its contradictions and conflicts, it's about being defined by your actions, not your job, and is the perfect reminder of how life can throw you the most extraordinary surprises, when you least expect it.</p>]",sports-leisure,9781913183370
2,Sooley (Hardback),"[<p>ONE MAN<br/> Seventeen-year-old Samuel Sooleyman comes from a village in South Sudan, a war-torn country where one third of the population is a refugee. His great love is basketball: his prodigious leap and lightning speed make him an exceptional player. And it may also bring him his big chance: he has been noticed by a coach taking a youth team to the United States. <br/><br/> ONE HOPE<br/> If he gets through the tournament, Samuel's life will change beyond recognition. But it's the longest of long shots. His talent is raw and uncoached. There are hundreds of better-known players ahead of him. And he must leave his family behind, at least at the beginning.<br/><br/> ONE CHANCE<br/> As American success beckons, devastating news reaches Samuel from home. Caught between his dream and the nightmare unfolding thousands of miles away, 'Sooley', as he's nicknamed by his classmates, must make hard choices about his future. This quiet, dedicated boy must do what no other player has achieved in the history of his chosen game: become a legend in twelve short months.</p>]",sports-leisure,9781529368000
3,"Mortimer & Whitehouse: Gone Fishing: Life, Death and the Thrill of the Catch (Paperback)","[<p>Two comedy greats talk life, friendship and the joys of fishing...</p>, <p>Bob Mortimer and Paul Whitehouse have been friends for 30 years, but when life intervened, what was once a joyous and spontaneous friendship dwindled to the odd phone call or occasional catch up.</p>, <p>Then, Glory Be! They were both diagnosed with heart disease and realised that time is short. They'd better spend it fishing... So they dusted off their kits, chucked on their waders and ventured into the achingly beautiful British countryside to fish, rediscover the joys of their friendship and ruminate on some of life's most profound questions, such as: How did we get so old? Where are all the fish? What are your favourite pocket meats? What should we do if we find a corpse?</p>, <p>Following the success of the BBC's Mortimer &amp; Whitehouse: <em>Gone Fishing</em> series, this wonderful book by two lifelong friends is a love letter to the joys of angling, the thrill of the catch and the virtue of having a right daft laff with your mates. On the fish, the equipment, the food, and the locations, <em>Gone Fishing</em> is the perfect book for fans of Bob Mortimer, Paul Whitehouse and for anyone who wants to read a brilliantly written and endlessly funny joint memoir on life, friendship and joys of fishing.</p>]",sports-leisure,9781788702942
4,The Accidental Footballer: Signed Edition (Hardback),"[<p><strong>Signed Edition<br/></strong></p>, <p><strong>A standard edition is available <a href=""/book/the-accidental-footballer/pat-nevin/9781913183370"">here</a>.</strong></p>, <p>Pat Nevin never wanted to be a professional footballer.</p>, <p>His future was clear, he'd become a teacher like his brothers. There was only one problem with this - Pat was far too good to avoid attention.</p>, <p>Raised in Glasgow's East End, Pat loved the game, playing for hours and obsessively following Celtic. But as he grew up, he also loved Joy Division, wearing his Indie 'gloom boom' coat and going on marches - hardly typical footballer behaviour!</p>, <p>Placed firmly in the 80s and 90s, before the advent of the Premier League, and often with racism and violence present, Pat Nevin writes with honesty, insight and wry humour. We are transported vividly to Chelsea and Everton, and colourfully diverted by John Peel, Morrissey and nights out at the Hacienda.<i><br/></i></p>, <p><i>The Accidental Footballer</i> is a different kind of football memoir. Capturing all the joys of professional football as well as its contradictions and conflicts, it's about being defined by your actions, not your job, and is the perfect reminder of how life can throw you the most extraordinary surprises, when you least expect it.</p>]",sports-leisure,9781800960114
5,"The Chimp Paradox: The Acclaimed Mind Management Programme to Help You Achieve Success, Confidence and Happiness (Paperback)","[<p><em>The Chimp is the emotional machine that we all possess. It thinks independently from us and can make decisions… the main purpose of this book is to help you to manage your Chimp and to harness its strength and power when it is working for you and to neutralise it when it is not.</em></p>, <p>Do you sabotage your own happiness and success?</p>, <p>Are you struggling to make sense of yourself?</p>, <p>Do your emotions sometimes dictate your life?</p>, <p><em>The Chimp Paradox</em> is an incredibly powerful mind management model that can help you become a happy, confident, healthier and more successful person.</p>, <p><a href=""/author/prof-steve-peters/2593085"">Prof Steve Peters</a> explains the struggle that takes place within your mind and then shows how to apply this understanding to every area of your life so you can: - Recognise how your mind is working - Understand and manage your emotions and thoughts - Manage yourself and become the person you would like to be.</p>, <p>The Chimp Mind Management Model is based on scientific facts and principles, which have been simplified into a workable model for easy use.</p>, <p>By giving you an understanding of the way in which your mind works and how you can manage it this book will help you to develop yourself and give you the skills to remove anxiety, have confidence and choose your emotions. It will help you to identify what is holding you back or preventing you from having a happier and more successful life.</p>, <p>Each chapter explains different aspects of how you function and highlights key facts for you to understand and offers exercises to help you develop. By undertaking these exercises you will see immediate improvements in your daily living and, over time, you will develop emotional skills and practical habits that will help you to become the person that you want to be, and live the life that you want to live.</p>, <p></p>]",sports-leisure,9780091935580
6,Playfair Cricket Annual 2021 (Paperback),"[<p>The world's bestselling cricket annual.<br/>The indispensable pocket guide to the cricket season.</p>, <p>The 74th edition of the <em>Playfair Cricket Annual</em> is packed with all the information you need to follow the cricket season in 2021, as well as a review of events during the previous Covid-impacted twelve months.</p>, <p>India are the main attraction this coming season, and here you'll find comprehensive Test match and limited-overs records and career records to help you follow the action.</p>, <p>County cricket is covered in unrivalled depth, with biographies of all players registered to the counties at the start of the season, full coverage of last summer's events and a fixture list for all major domestic matches in 2021.</p>, <p>There are also sections on women's cricket and the major domestic T20 competitions from around the world, which in 2021 will include The Hundred.</p>, <p>For any cricket fan, the season is never complete without a copy of <em>Playfair </em>to guide you through it all.</p>]",sports-leisure,9781472267542
7,The Fast 800 Easy: Quick and simple recipes to make your 800-calorie days even easier (Paperback),"[<p>130 brand-new recipes to cook up at home, any day of the week...</p>, <p>Following her bestselling<i> Fast 800 Recipe Book, </i>Dr Clare Bailey returns with a fabulous new cookbook, featuring super-simple recipes to enable you to eat well with minimum prep time on your fasting days.</p>, <p>All the dishes in this book can be made with less than 10 ingredients and are based on the low-carb Mediterranean style of eating now proven to revolutionalise your health. There are numerous vegetarian options, plus simple ways to expand meals for non-fast days or when you are eating with friends or family.</p>, <p>With everything from smoothies and wraps to winter stews and curries, this book will help you rustle up delicious, nutritious meals in minutes - food that tastes so good you won't feel the low-calorie count.</p>, <p>INCLUDES 8 WEEKS OF CALORIE-COUNTED MEAL PLANS</p>]",sports-leisure,9781780724508
8,Behind the Mask: My Autobiography (Paperback),"[<p><strong>Overall Winner of the <a href=""/category/cultural-highlights/book-awards/the-sports-book-awards"">Telegraph Sports Book Award</a> 2020</strong></p>, <p><strong>Winner of the <a href=""/category/cultural-highlights/book-awards/the-sports-book-awards"">Telegraph Sports Book Award</a> Autobiography of the Year 2020</strong></p>, <p>The extraordinary story of the rise and fall and rise again of Tyson Fury...</p>, <p>THE GYPSY KING.</p>, <p>A Manchester lad from Irish Traveller stock, born three months premature and weighing just a pound at birth, Tyson (named after his father's boxing hero) grew up to become one of the most unlikely heavyweight champions in history. This 'dream come true' soon turned to nightmare, however, as alcohol and cocaine abuse took hold and Tyson was stripped of his titles. What followed was the darkest moment of his life - detailed in this book for the first time - in which he came within seconds of ending everything.</p>, <p>THE PEOPLE'S CHAMPION.</p>, <p>Like all the greatest stories, though, there is redemption and Tyson defies all the odds and literally drags himself to his feet. 10 million people around the globe watched Fury fight Wilder in the biggest fight of the boxing calendar. Speaking candidly about his struggles with mental health, this is Tyson Fury as you have never seen him before.</p>, <p>A BRITISH ICON.</p>, <p><em>Behind the Mask</em> is an unflinching autobiography from the greatest boxer of our time and a man who has demonstrated strength of a very different kind by conquering his demons.</p>]",sports-leisure,9781787465060
9,What a Flanker (Paperback),"[<p><em>I'd like to be remembered as a player who showed that you can be incredibly professional but also a lot of fun - a bit of a joker in the changing room, but the ultimate competitor on the pitch. That should have been the subtitle of this book, really...</em></p>, <p>One of rugby's most ferocious flankers and biggest characters, James Haskell has had an extraordinary, global experience of the game, having played for the Wasps, Northampton and England, and in New Zealand, France and Japan. After seventeen years and with 77 international caps under his sizeable belt, he has a shitload to say about rugby life - from pitch to pub and everywhere in between.<br/> <br/>In <em>What A Flanker</em>, Haskell sheds fresh light on the dynamics and the day-to-day of the game. Whether he's recalling the most brutal team socials; dispelling the myths surrounding New Zealand's dominance; introducing his Japanese teammates to manscaping or calling out play-acting in the modern game, no subject is off limits.<br/> <br/>Side-splittingly funny and ruthlessly honest, <em>What A Flanker</em> delves into the touring, drinking, training, eating and sometimes unconscionable antics of the professional rugby player. It's an unforgettable read, even if there are some stories you'd rather forget...</p>]",sports-leisure,9780008403706
