,Title,Synopsis,Subject,ISBN
0,Too Many Reasons to Live (Hardback),"[<p><em>I'm not giving in until my last breath.</em> - Rob Burrow</p>, <p>Rugby League legend Rob Burrow's memoir will be one of the most inspirational books you'll ever read. It will move you to tears and make you laugh. It will make you angry at the unfairness and cruelty of life. It will make you marvel at the fortitude and limits of the human spirit. And, like all the best books, perhaps it will make you reassess your own approach to living.</p>, <p>Since the age of seven Rob Burrow, the beating heart of the legendary Leeds Rhino Rugby Leeds team has been proving people wrong. Told that he was too small to play Rugby League he went on, against all logic, to have one of the most decorated careers in English Rugby League's modern history. And then, at 37, he was diagnosed with motor neurone disease. This is the story of a man who is channelling all that determination and positivity into his biggest battle yet.</p>, <p><em>Too Many Reasons to Live</em> isn't just a rugby league book, or just a book for sports fans. It's an extraordinary story of love, friendship, of infinite kindness and boundless courage. As Rob takes on his new battle, he is doing what he has done his entire life - proving people wrong. Rugby League, winning friendship, at its heart <em>Too Many Reasons to Live</em> is a book for anyone either fighting their own battles with illness or other kinds of adversity, and a reminder that no one is going through it alone.</p>]",sports-leisure,9781529073249
1,Breath: The New Science of a Lost Art (Paperback),"[<p>There is nothing more essential to our health and wellbeing than breathing: take air in, let it out, repeat 25,000 times a day. Yet, as a species, humans have lost the ability to breathe correctly, with grave consequences. In <i>Breath</i>, journalist James Nestor travels the world to discover the hidden science behind ancient breathing practices to figure out what went wrong and how to fix it.</p>, <p>Modern research is showing us that making even slight adjustments to the way we inhale and exhale can:</p>, <p>None of this should be possible, and yet it is. Drawing on thousands of years of ancient wisdom and cutting-edge studies in pulmonology, psychology, biochemistry and human physiology, <em>Breath</em> turns the conventional wisdom of what we thought we knew about our most basic biological function on its head.</p>, <p>You will never breathe the same again.</p>]",sports-leisure,9780241289129
2,One by One (Paperback),"[<p><b>'The sense of dread deepens as the snow falls in Ruth Ware's tensely plotted and deliciously cast alpine thriller' </b>Louise Candlish, bestselling author of <i>Our House</i><br/><br/><b>**THE UNMISSABLE NEW THRILLER FROM THE QUEEN OF THE MODERN-DAY MURDER MYSTERY**<br/></b><br/>Snow is falling in the exclusive alpine ski resort of Saint Antoine, as the shareholders and directors of Snoop, the hottest new music app, gather for a make or break corporate retreat to decide the future of the company. At stake is a billion-dollar dot com buyout that could make them all millionaires, or leave some of them out in the cold. <br/><br/>The clock is ticking on the offer, and with the group irrevocably split, tensions are running high. When an avalanche cuts the chalet off from help, and one board member goes missing in the snow, the group is forced to ask - would someone resort to murder, to get what they want?<br/><i>_________________________</i><br/><br/><b>PRAISE FOR RUTH WARE'S ADDICTIVE THRILLERS:</b><br/><br/><b>'Atmospheric and eerie with Agatha Christie vibes</b>' <i>Prima</i><br/><br/><b>'Ruth Ware just gets better and better' </b>Lisa Jewell, author of <i>The People Upstairs</i><br/><br/><b>'A dark tale by one of the best thriller writers around' </b><i>Independent</i><br/><b><br/>'Will hold you captive until the brilliant ending' </b>Shari Lapena, author of <i>Someone We Know</i><br/><br/><b>'A real spine-chiller that confirms Ruth Ware as the true heir to Christie's crown' </b>Erin Kelly, bestselling author of <i>He Said, She Said</i> <br/><i>_________________________</i><br/><br/><b>READERS LOVE <i>ONE BY ONE:</i></b><br/>'I devoured this in a day...eerie and creepy' *****<br/><b>'Terrifying and captivating' *****</b><br/>'Had me on the edge of my seat' *****<br/><b>'Utterly brilliant' *****</b><br/>'Clever, chilling, addictive...a must-read!' *****<br/><b>'Strong Agatha Christie vibes' *****</b></p>]",sports-leisure,9781784708085
3,"The Chimp Paradox: The Acclaimed Mind Management Programme to Help You Achieve Success, Confidence and Happiness (Paperback)","[<p><em>The Chimp is the emotional machine that we all possess. It thinks independently from us and can make decisions… the main purpose of this book is to help you to manage your Chimp and to harness its strength and power when it is working for you and to neutralise it when it is not.</em></p>, <p>Do you sabotage your own happiness and success?</p>, <p>Are you struggling to make sense of yourself?</p>, <p>Do your emotions sometimes dictate your life?</p>, <p><em>The Chimp Paradox</em> is an incredibly powerful mind management model that can help you become a happy, confident, healthier and more successful person.</p>, <p><a href=""/author/prof-steve-peters/2593085"">Prof Steve Peters</a> explains the struggle that takes place within your mind and then shows how to apply this understanding to every area of your life so you can: - Recognise how your mind is working - Understand and manage your emotions and thoughts - Manage yourself and become the person you would like to be.</p>, <p>The Chimp Mind Management Model is based on scientific facts and principles, which have been simplified into a workable model for easy use.</p>, <p>By giving you an understanding of the way in which your mind works and how you can manage it this book will help you to develop yourself and give you the skills to remove anxiety, have confidence and choose your emotions. It will help you to identify what is holding you back or preventing you from having a happier and more successful life.</p>, <p>Each chapter explains different aspects of how you function and highlights key facts for you to understand and offers exercises to help you develop. By undertaking these exercises you will see immediate improvements in your daily living and, over time, you will develop emotional skills and practical habits that will help you to become the person that you want to be, and live the life that you want to live.</p>, <p></p>]",sports-leisure,9780091935580
4,And it was Beautiful: Marcelo Bielsa and the Rebirth of Leeds United (Hardback),"[<p>When Marcelo Bielsa was appointed head coach of Leeds United in the summer of 2018, the club had just finished 13th in the Championship - their 15th consecutive season outside the top flight - and were defined as much by their excesses and disasters off the pitch as their lack of success on it. Bielsa changed everything.</p>, <p>In guiding Leeds back to the promised land of the Premier League, he has transformed the club into a vastly more dynamic, entertaining and professional outfit, fully endearing himself to the Leeds faithful and capturing the imaginations of football fans around the world. With his unique tactical approach, strict diet and body fat controls and a gruelling training schedule - including his infamous 'murderball' sessions - Bielsa has shaped a gang of Championship misfits and journeymen into a team that plays breathtakingly relentless attacking football and is more than capable of going toe-to-toe with the game's established heavyweights.</p>, <p>In <em>And it was Beautiful</em>, Phil Hay documents the fortunes of Leeds United under Marcelo Bielsa during their return to the Premier League for the 2020/21 season. By weaving in stories of crises from the club's purgatory in the English Football League, he presents a comprehensive and compelling portrait of an enigmatic manager whose values are the antithesis of everything that has previously gone wrong at Leeds during the dark days of Ken Bates, Massimo Cellino and GFH. The book will pull back the curtain on Bielsa's innovative tactical methods, his unconventional yet highly productive relationship with owner Andrea Radrizzani and Director of Football Victor Orta, his intensely loyal backroom team and the extraordinary cultural impact Bielsa has had on the city of Leeds - from murals and songs to cult fanbases in the provinces of Argentina. The result is a unique and beautiful love affair that has made dreams come true.</p>]",sports-leisure,9781841885162
5,The Nationwide Annual: Soccer's Pocket Encyclopedia: 2021-2022 (Paperback),"[<p>The Nationwide Football Annual is now in its 135th year and is still the most comprehensive soccer yearbook in the market, living up to its billing as soccer pocket encyclopedia.</p>, <p>COVID-19 has wreaked havoc with the sport; games in the Premier League and EFL have been played mostly in front of empty stands with the European Championships held back a year. But as usual the book is packed full of information vital for the football fan; from team line\-ups to international results; from international appearances and goalscorers to the sort of trivia to keep a pub quiz in questions for another 134 years!</p>, <p>The book contains everything anyone needs to know about the game league and non league in Britain, Ireland and throughout Europe. The publication of the latest edition of the annual is always a major event in the soccer calendar. Stuart Barnes is in his 21st year as compiler and editor.</p>]",sports-leisure,9781907524622
6,"Coasting: Running Around the Coast of Britain - Life, Love and (Very) Loose Plans (Paperback)","[<p>Running away from your problems doesn't solve anything - but sometimes it's more fun than dealing with them.</p>, <p>Elise was spending a lot of time crying on buses. She had just graduated from university; she had a shiny new flat, her first proper job and a budding relationship - and they were all making her utterly miserable. Sitting at work one day, she hit upon the obvious solution:</p>, <p>Run 5,000 miles around the coast of Britain, carrying her kit on her back.</p>, <p>Six months later Elise set off, with absolutely no ultra-running experience, unable to read a map and having never pitched a tent alone before. Over the 301 days that followed she developed a debilitating fear of farmyard animals, cried on a lot of beaches and saw Britain at its most wild and wonderful.</p>, <p>Coasting is about putting one foot in front of the other, even when it feels impossible, and trying to enjoy it too. With heart and humour, Elise explores the thrill of taking risks and putting your trust in total strangers, and learns some home truths along the way.</p>]",sports-leisure,9781787839816
7,The Utilita Football Yearbook 2021-2022 (Paperback),"[<p><em>The Utilita Football Yearbook 2021-2022</em> is the market-leading book of football statistics, featuring everything you need to know about domestic and international football.<b></b></p>, <p>Since its first appearance in 1970, <em>The Football Yearbook</em> has heralded the start of each new season and served as the sport's book of record, faithfully chronicling decades of both tradition and evolution.</p>, <p>Now in its 52nd year of publication, the <em>Yearbook </em>celebrates that legacy and undertakes to do what it always does - to meticulously record the season just gone and look forward to the season about to start, all within more than a thousand pages of pure footballing facts and figures.</p>]",sports-leisure,9781472288349
8,"Mortimer & Whitehouse: Gone Fishing: Life, Death and the Thrill of the Catch (Paperback)","[<p>Two comedy greats talk life, friendship and the joys of fishing...</p>, <p>Bob Mortimer and Paul Whitehouse have been friends for 30 years, but when life intervened, what was once a joyous and spontaneous friendship dwindled to the odd phone call or occasional catch up.</p>, <p>Then, Glory Be! They were both diagnosed with heart disease and realised that time is short. They'd better spend it fishing... So they dusted off their kits, chucked on their waders and ventured into the achingly beautiful British countryside to fish, rediscover the joys of their friendship and ruminate on some of life's most profound questions, such as: How did we get so old? Where are all the fish? What are your favourite pocket meats? What should we do if we find a corpse?</p>, <p>Following the success of the BBC's Mortimer &amp; Whitehouse: <em>Gone Fishing</em> series, this wonderful book by two lifelong friends is a love letter to the joys of angling, the thrill of the catch and the virtue of having a right daft laff with your mates. On the fish, the equipment, the food, and the locations, <em>Gone Fishing</em> is the perfect book for fans of Bob Mortimer, Paul Whitehouse and for anyone who wants to read a brilliantly written and endlessly funny joint memoir on life, friendship and joys of fishing.</p>]",sports-leisure,9781788702942
9,Blueprint: Build a Bulletproof Body for Extreme Adventure in 365 Days (Hardback),"[<p>From world-renowned adventurer and bestselling author of <a href=""/book/the-art-of-resilience/ross-edgley/9780008356958""><em>The Art of Resilience</em></a> and <a href=""/book/the-worlds-fittest-book/ross-edgley/9780751572544""><em>The World's Fittest Book</em></a>, comes the ultimate blueprint to (re)building a bulletproof body.</p>, <p>Ross Edgley has spent decades perfecting the principles and practice of extreme fitness to achieve the impossible. Following a career-threatening injury in 2018, Ross was forced to reassess his training and take the next steps in a lifelong journey of redefining what the human body is capable of. In <em>Blueprint</em>, Ross shares the cutting-edge training program that empowered him to rebuild his body from surgery and a doctor's gloomy prognosis in just 365 days to complete a world record swim.</p>, <p>Whether it's climbing a mountain, swimming the English Channel, or a gruelling triathlon, Blueprint will teach you the tried and tested principles of sports science that have been used for decades by Olympians, explorers and adventurers at the limits of peak physical endurance.</p>, <p><em>Blueprint</em> is Ross Edgley's complete training journey that shows you how to:<br/>* Divide a 365-day training plan into seasons (winter, spring, summer and autumn)<br/>* Rebuild your body using evolutionary medicine<br/>* Build a superhuman work capacity with forgotten Spartan-style training<br/>* Gain bulletproof resilience through Soviet-inspired strength training<br/>* Boost your aerobic base with Olympian techniques.<br/> <br/><em>Blueprint</em> applies the exact same principles that enabled Ross to complete extreme feats such as the World's Longest Sea Swim, World's Longest Rope Climb, World's Heaviest Triathlon and World's Strongest Marathon.</p>, <p>Ross is your elite guide to achieving the impossible in the gym and beyond. Featuring almost 30 tailored workouts for different phases of training, packed with digestible sports science to help you optimise your workouts, and interspersed with Ross' own daring adventures across the world, <em>Blueprint</em> is the ultimate guide to optimising your time and training to make the impossible possible.</p>]",sports-leisure,9780008487034
